"BindingDB MonomerID","Ligand SMILES","Gbinding Average"
76055,"O=C(N1CCC(CC1)n1nc(oc1=O)-c1ccccc1)C1(CCCC1)c1ccccc1",5.7033
76056,"Fc1ccc(CC(=O)N2CCC(CC2)n2nc(oc2=O)-c2ccccc2)cc1",4.9318
76057,"O=C(Cc1ccc2OCOc2c1)N1CCC(CC1)n1nc(oc1=O)-c1ccccc1",4.8013
76058,"COc1ccc(cc1)C1(CC1)C(=O)N1CCC(CC1)n1nc(oc1=O)-c1ccccc1",5.1481
76059,"CCOc1ccc(CC(=O)N2CCC(CC2)n2nc(oc2=O)-c2ccccc2)cc1",5.1146
76060,"O=C(N1CCC(CC1)n1nc(oc1=O)-c1ccccc1)C1(CC1)c1ccccc1",5.0635
76061,"Cc1nnc(-c2ccc(Cl)cc2)c2cn(nc12)-c1ccccc1",5.4461
76062,"Cc1nnc(-c2ccccc2)c2cn(nc12)-c1ccc(Cl)cc1",5.4401
76063,"Cc1ccc(cc1)-n1cc2c(nnc(C)c2n1)-c1ccccc1",5.0623
76064,"Cc1nnc(-c2cccc3ccccc23)c2cn(nc12)-c1cccc(Br)c1",6.1798
76065,"COc1ccc(cc1)-n1cc2c(nnc(C)c2n1)-c1ccc(cc1)-c1ccccc1",5.983
76066,"Cc1nnc(-c2cccc(Br)c2)c2cn(nc12)-c1ccccc1",5.7747
76067,"COc1ccc(cc1)-n1cc2c(nnc(C)c2n1)-c1cccc(Br)c1",6.0241
76068,"Cc1ccc(cc1)-c1nnc(C)c2nn(cc12)-c1ccccc1",5.3363
76069,"COc1ccc(cc1)-c1nnc(C)c2nn(cc12)-c1ccc(Cl)cc1",5.8327
76070,"Cc1ccc(cc1)-n1cc2c(nnc(C)c2n1)-c1ccc(Cl)cc1",6.0605
76071,"Cc1ccc(cc1)-c1nnc(C)c2nn(cc12)-c1ccc(C)cc1",5.5867
76072,"COc1ccc(cc1)-c1nnc(C)c2nn(cc12)-c1ccc(C)cc1",5.4486
76073,"O=C(Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)c1cc(nc2ccccc12)-c1ccccc1",5.3215
76075,"Cc1ccc(c(C)c1)-c1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)Nc2nccs2)c2ccccc2n1",4.9914
76076,"O=C(Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)c1cc(nc2ccccc12)-c1cccs1",5.3883
76077,"Oc1ccc(-c2n[nH]c(c2-c2ccccc2)C(F)(F)F)c(O)c1",5.4572
76078,"CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2cc(nc3ccccc23)-c2ccccc2)cc1",6.4535
76079,"Cc1ccc2nc(cc(C(=O)Nc3ccc(cc3)S(=O)(=O)N3CCOCC3)c2c1)-c1ccccn1",5.27
76080,"Cc1[nH]nc(c1-c1ccc(Br)cc1)-c1ccc(O)cc1O",6.0083
76081,"CCOc1ccc(-c2n[nH]c(C)c2-c2ccccc2)c(O)c1",5.383
76082,"CCOc1ccc(-c2n[nH]c(C)c2-c2ccc(OC)cc2)c(O)c1",6.0706
76083,"Cc1[nH]nc(c1-c1ccc(Cl)cc1)-c1ccc(OCCN2CCOCC2)cc1O",5.6757
76084,"COc1ccc(cc1)-c1c(C)[nH]nc1-c1ccc(OCCN2CCOCC2)cc1O",5.4225
76085,"Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4ccccc34)-c3ccccc3)cc2)n1",5.308
